,parkmeter_id,user_type,payment_method,amount,duration_hours,parking_start,parking_end,parkmeter_address,arrondissement,system,residential_area,hourly_rate,parkmeter_coordinates
10803789,83550201,Rotatif,CB,7.2,2.0,2014-06-26 12:56:15,2014-06-26 14:56:15,11 bis RUE ROQUEPINE,8,MIX,8H,4.0,"48.8732999999, 2.31894799997"
12355404,66200402,Rotatif,Paris Carte,2.4,2.0,2014-05-13 15:09:04,2014-05-13 17:09:04,0 RUE MOUTON DUVERNET,14,MIX,14L,2.4,"48.8324210004, 2.3260760005"
23912746,55240602,Rotatif,Paris Carte,2.4,2.0,2014-09-23 14:21:41,2014-09-23 16:21:41,38 RUE LEON,18,MIX,18L,2.4,"48.889389, 2.35355499962"
8803591,67610202,Rotatif,Paris Carte,7.2,2.0,2014-04-22 18:03:18,2014-04-22 20:03:18,2 bis RUE NICOLAS HOUEL,5,MIX,5F,4.0,"48.8420830003, 2.36266500022"
853878,12420104,Résident,Paris Carte,0.65,10.0,2014-11-09 20:23:57,2014-12-09 20:00:00,12 RUE BOYER BARRET,14,MIX,14M,2.4,"48.8327990001, 2.31782699962"
18866045,22010102,Rotatif,Paris Carte,1.8,0.5,2014-08-12 12:51:36,2014-08-12 13:21:36,7 vis-à-vis RUE DU COLONEL COMBES,7,MIX,7G,4.0,"48.8617459998, 2.30617499953"
6420785,63240501,Rotatif,Paris Carte,2.1,1.75,2014-04-30 17:27:14,2014-04-30 19:12:14,95 RUE MICHEL ANGE,16,MIX,16Y,2.4,"48.8401649997, 2.25818399949"
3247543,16040601,Rotatif,Paris Carte,3.0,1.25,2014-03-19 16:40:06,2014-03-19 17:55:06,23 PLACE DE CATALOGNE,14,MIX,14N,2.4,"48.837406, 2.31781000036"
7697939,64240201,Rotatif,Paris Carte,2.4,1.0,2014-05-20 16:34:14,2014-05-20 17:34:14,17 RUE MONCEY,9,MIX,9E,4.0,"48.8799559998, 2.32991799955"
19452237,85131301,Rotatif,Paris Carte,1.5,1.25,2014-11-20 11:52:04,2014-11-20 13:07:04,157 RUE SAINT CHARLES,15,ROT,15W,2.4,"48.8424159999, 2.28200899992"
9423715,8050202,Résident,CB,0.65,10.0,2014-07-04 14:46:42,2014-08-04 14:46:42,18 RUE BECQUEREL,18,MIX,18G,2.4,"48.8885879998, 2.34256499947"
2245147,74570102,Résident,Paris Carte,0.65,10.0,2014-09-17 11:18:03,2014-09-18 11:18:03,4 bis RUE DE LA PIERRE LEVEE,11,MIX,11E,4.0,"48.8666659997, 2.37099199978"
22358954,26910502,Rotatif,CB,4.8,2.0,2014-10-13 11:32:44,2014-10-13 13:32:44,4 vis-à-vis PLACE DENFERT ROCHEREAU,14,MIX,14N,2.4,"48.8349090002, 2.33123800018"
14676818,93372301,Rotatif,CB,2.4,2.0,2014-02-13 15:37:37,2014-02-13 17:37:37,201 RUE DE TOLBIAC,13,ROT,13F,2.4,"48.8256750003, 2.34931499995"
7755792,10580702,Résident,Paris Carte,3.25,50.0,2014-04-04 21:11:32,2014-11-04 20:00:00,76 RUE BOILEAU,16,MIX,16Y,2.4,"48.8414400003, 2.26249999984"
23974054,64500603,Rotatif,Paris Carte,3.6,1.0,2014-09-26 12:14:06,2014-09-26 13:14:06,53 AVENUE MONTAIGNE,8,ROT,8E,4.0,"48.8680600004, 2.30799399988"
9875961,91530201,Rotatif,CB,2.4,2.0,2014-05-20 11:13:11,2014-05-20 13:13:11,7 RUE TAINE,12,MIX,12K,2.4,"48.8377249996, 2.39175000062"
19698588,24380101,Résident,Paris Carte,3.25,50.0,2014-03-12 11:12:00,2014-10-12 12:12:00,1 RUE CREVAUX,16,MIX,16F,2.4,"48.8709780003, 2.2811060002"
8250027,21160101,Rotatif,CB,4.8,2.0,2014-09-05 01:11:12,2014-10-04 13:00:00,13 RUE DE CLICHY,9,ROT,9E,4.0,"48.8773569999, 2.33043299951"
6797606,45220201,Rotatif,CB,2.4,2.0,2014-11-06 17:01:40,2014-11-06 19:01:40,15 RUE HELENE BRION,13,MIX,13P,2.4,"48.8285513296, 2.38199229019"
15905421,8810204,Rotatif,CB,2.4,2.0,2014-03-01 10:11:38,2014-03-01 12:11:38,37 vis-à-vis RUE DE BERCY,12,MIX,12F,2.4,"48.8370460003, 2.38395899991"
7377899,12650201,Rotatif,Paris Carte,2.4,2.0,2014-10-03 15:08:33,2014-10-03 17:08:33,7 RUE DE LA BRECHE AUX LOUPS,12,MIX,12K,2.4,"48.8364380003, 2.39292400034"
12284524,30650202,Résident,Paris Carte,1.35,20.77,2014-06-03 23:00:23,2014-03-13 20:00:00,26 RUE DUVIVIER,7,MIX,7J,4.0,"48.8562600001, 2.30725199981"
11652809,31880101,Rotatif,CB,7.2,2.0,2014-05-18 18:55:14,2014-05-19 13:00:00,3 AVENUE ELISEE RECLUS,7,MIX,7E,4.0,"48.8588329998, 2.29728300026"
15389041,60590104,Rotatif,CB,4.8,2.0,2014-01-27 12:02:21,2014-01-27 14:02:21,12 RUE MARGUERITTE,17,MIX,17J,2.4,"48.8798890003, 2.30155199944"
10403742,36591301,Rotatif,CB,2.4,2.0,2014-04-06 13:20:55,2014-04-06 15:20:55,143 terre-plein AVENUE DE FLANDRE,19,ROT,19E,2.4,"48.8928879996, 2.37964000049"
6165835,97611605,Rotatif,CB,4.8,2.0,2014-12-06 13:46:40,2014-12-06 15:46:40,195 AVENUE VICTOR HUGO,16,ROT,16L,2.4,"48.8646789999, 2.27382100035"
7883688,18800501,Rotatif,CB,0.9,0.25,2014-07-04 18:22:46,2014-07-04 18:37:46,50 RUE CHARLOT,3,MIX,3E,4.0,"48.8630448601, 2.36281008969"
14082237,71570202,Résident,Paris Carte,0.65,10.0,2014-07-02 12:25:32,2014-10-02 12:25:32,14 RUE PAUL FEVAL,18,MIX,18F,2.4,"48.8889270004, 2.3408059995"
11633935,58480102,Rotatif,Paris Carte,1.5,1.25,2014-01-30 11:59:21,2014-01-30 13:14:21,8 RUE DU LUNAIN,14,MIX,14J,2.4,"48.8271799999, 2.32918399989"
11134185,20760401,Résident,Paris Carte,3.25,50.0,2014-03-21 18:38:15,2014-03-28 18:38:15,49 RUE CLAUDE DECAEN,12,MIX,12K,2.4,"48.8363460004, 2.39882799984"
